taxonomy,year,level,code,value
ssyk2012,2023,4,2134,1749
ssyk2012,2023,4,2135,2330
ssyk2012,2023,4,2141,7492
ssyk2012,2023,4,2142,15667
ssyk2012,2023,4,2143,38978
ssyk2012,2023,4,2144,19700
ssyk2012,2023,4,2145,4862
ssyk2012,2023,4,2146,729
ssyk2012,2023,4,2149,33408
ssyk2012,2023,4,2161,7080
ssyk2012,2023,4,2162,1340
ssyk2012,2023,4,2163,3885
ssyk2012,2023,4,2164,1479
ssyk2012,2023,4,2171,3822
ssyk2012,2023,4,2172,7416
ssyk2012,2023,4,2173,4778
ssyk2012,2023,4,2179,3059
ssyk2012,2023,4,2181,2146
ssyk2012,2023,4,2182,4419
ssyk2012,2023,4,2183,4543
ssyk2012,2023,4,2211,27553
ssyk2012,2023,4,2212,11212
ssyk2012,2023,4,2213,3247
ssyk2012,2023,4,2219,6279
ssyk2012,2023,4,2221,55261
ssyk2012,2023,4,2222,6634
ssyk2012,2023,4,2223,3872
ssyk2012,2023,4,2224,7760
ssyk2012,2023,4,2225,3269
ssyk2012,2023,4,2226,3175
ssyk2012,2023,4,2227,8539
ssyk2012,2023,4,2228,3832
ssyk2012,2023,4,2231,3184
ssyk2012,2023,4,2232,3813
ssyk2012,2023,4,2233,4198
ssyk2012,2023,4,2234,931
ssyk2012,2023,4,2235,3456
ssyk2012,2023,4,2239,9070
ssyk2012,2023,4,2241,10405
ssyk2012,2023,4,2242,978
ssyk2012,2023,4,2250,3105
ssyk2012,2023,4,2260,7662
ssyk2012,2023,4,2271,1077
ssyk2012,2023,4,2272,12190
ssyk2012,2023,4,2273,9220
ssyk2012,2023,4,2281,2810
ssyk2012,2023,4,2282,1455
ssyk2012,2023,4,2283,3201
ssyk2012,2023,4,2284,1947
ssyk2012,2023,4,2289,1554
ssyk2012,2023,4,2311,4738
ssyk2012,2023,4,2312,11010
ssyk2012,2023,4,2313,3064
ssyk2012,2023,4,2314,10245
ssyk2012,2023,4,2319,10791
ssyk2012,2023,4,2320,12247
ssyk2012,2023,4,2330,30461
ssyk2012,2023,4,2341,118477
ssyk2012,2023,4,2342,18246
ssyk2012,2023,4,2343,66249
ssyk2012,2023,4,2351,15298
ssyk2012,2023,4,2352,4881
ssyk2012,2023,4,2359,19118
ssyk2012,2023,4,2411,14888
ssyk2012,2023,4,2412,22207
ssyk2012,2023,4,2413,8521
ssyk2012,2023,4,2414,2164
ssyk2012,2023,4,2415,1649
ssyk2012,2023,4,2419,11830
ssyk2012,2023,4,2421,51098
ssyk2012,2023,4,2422,73878
ssyk2012,2023,4,2423,28094
ssyk2012,2023,4,2431,28009
ssyk2012,2023,4,2432,23906
ssyk2012,2023,4,2511,26660
ssyk2012,2023,4,2512,112848
ssyk2012,2023,4,2513,4526
ssyk2012,2023,4,2514,6836
ssyk2012,2023,4,2515,7098
ssyk2012,2023,4,2516,4100
ssyk2012,2023,4,2519,19661
ssyk2012,2023,4,2611,3806
ssyk2012,2023,4,2612,1911
ssyk2012,2023,4,2613,1289
ssyk2012,2023,4,2614,9057
ssyk2012,2023,4,2615,4578
ssyk2012,2023,4,2619,7722
ssyk2012,2023,4,2621,2639
ssyk2012,2023,4,2622,8143
ssyk2012,2023,4,2623,1377
ssyk2012,2023,4,2641,1537
ssyk2012,2023,4,2642,10794
ssyk2012,2023,4,2643,3084
ssyk2012,2023,4,2651,842
ssyk2012,2023,4,2652,5878
ssyk2012,2023,4,2653,596
ssyk2012,2023,4,2654,3752
ssyk2012,2023,4,2655,2305
ssyk2012,2023,4,2661,26529
ssyk2012,2023,4,2662,11641
ssyk2012,2023,4,2663,6563
ssyk2012,2023,4,2669,8197
ssyk2012,2023,4,2671,2718
ssyk2012,2023,4,2672,1219
ssyk2012,2023,4,3111,9384
ssyk2012,2023,4,3112,31582
ssyk2012,2023,4,3113,33673
ssyk2012,2023,4,3114,23447
ssyk2012,2023,4,3115,3802
ssyk2012,2023,4,3116,671
ssyk2012,2023,4,3117,1956
ssyk2012,2023,4,3119,22331
ssyk2012,2023,4,3121,19718
ssyk2012,2023,4,3122,9659
ssyk2012,2023,4,3151,797
ssyk2012,2023,4,3152,1763
ssyk2012,2023,4,3153,1725
ssyk2012,2023,4,3154,806
ssyk2012,2023,4,3155,430
ssyk2012,2023,4,3211,2510
ssyk2012,2023,4,3212,10504
ssyk2012,2023,4,3213,4463
ssyk2012,2023,4,3214,3585
ssyk2012,2023,4,3215,11670
ssyk2012,2023,4,3230,164
ssyk2012,2023,4,3240,3297
ssyk2012,2023,4,3250,3828
ssyk2012,2023,4,3311,1353
ssyk2012,2023,4,3312,24667
ssyk2012,2023,4,3313,31558
ssyk2012,2023,4,3314,6552
ssyk2012,2023,4,3321,12744
ssyk2012,2023,4,3322,94167
ssyk2012,2023,4,3323,23124
ssyk2012,2023,4,3324,19700
ssyk2012,2023,4,3331,5618
ssyk2012,2023,4,3332,3196
ssyk2012,2023,4,3333,8227
ssyk2012,2023,4,3334,5671
ssyk2012,2023,4,3335,8561
ssyk2012,2023,4,3339,4017
ssyk2012,2023,4,3341,7071
ssyk2012,2023,4,3342,3265
ssyk2012,2023,4,3343,8676
ssyk2012,2023,4,3351,1856
ssyk2012,2023,4,3352,4351
ssyk2012,2023,4,3353,11566
ssyk2012,2023,4,3354,4775
ssyk2012,2023,4,3355,4629
ssyk2012,2023,4,3359,22405
ssyk2012,2023,4,3360,18883
ssyk2012,2023,4,3411,18811
ssyk2012,2023,4,3412,1375
ssyk2012,2023,4,3421,3094
ssyk2012,2023,4,3422,16398
ssyk2012,2023,4,3423,17141
ssyk2012,2023,4,3424,2124
ssyk2012,2023,4,3431,2832
ssyk2012,2023,4,3432,2705
ssyk2012,2023,4,3433,1154
ssyk2012,2023,4,3439,1309
ssyk2012,2023,4,3441,2039
ssyk2012,2023,4,3449,6724
ssyk2012,2023,4,3451,3617
